"Time","power consumption"
2022-09-05 21:04:15,47.5
2022-09-05 21:04:20,47.5
2022-09-05 21:04:25,47.5
2022-09-05 21:04:30,47.5
2022-09-05 21:04:35,40.8
2022-09-05 21:04:40,40.8
2022-09-05 21:04:45,40.8
2022-09-05 21:04:50,40.8
2022-09-05 21:04:55,46.8
2022-09-05 21:05:00,46.8
2022-09-05 21:05:05,18.9
2022-09-05 21:05:10,18.9
2022-09-05 21:05:15,6.6
2022-09-05 21:05:20,6.6
2022-09-05 21:05:25,6.6
2022-09-05 21:05:30,6.6
2022-09-05 21:05:35,21.9
2022-09-05 21:05:40,21.9
2022-09-05 21:05:45,21.9
2022-09-05 21:05:50,21.9
2022-09-05 21:05:55,49.9
2022-09-05 21:06:00,49.9
2022-09-05 21:06:05,49.9
2022-09-05 21:06:10,49.9
2022-09-05 21:06:15,47.1
2022-09-05 21:06:20,47.1
2022-09-05 21:06:25,47.1
2022-09-05 21:06:30,47.1
2022-09-05 21:06:35,47.4
2022-09-05 21:06:40,47.4
2022-09-05 21:06:45,47.4
2022-09-05 21:06:50,47.4
2022-09-05 21:06:55,47.2
2022-09-05 21:07:00,47.2
2022-09-05 21:07:05,47.2
2022-09-05 21:07:10,47.2
2022-09-05 21:07:15,6.3
2022-09-05 21:07:20,6.3
2022-09-05 21:07:25,6.3
2022-09-05 21:07:30,6.3
2022-09-05 21:07:35,6.0
2022-09-05 21:07:40,6.0
2022-09-05 21:07:45,6.0
2022-09-05 21:07:50,6.0
2022-09-05 21:07:55,5.5
2022-09-05 21:08:00,5.5
2022-09-05 21:08:05,5.5
2022-09-05 21:08:10,5.5
2022-09-05 21:08:15,5.7
2022-09-05 21:08:20,5.7
2022-09-05 21:08:25,5.7
2022-09-05 21:08:30,5.7
2022-09-05 21:08:35,20.9
2022-09-05 21:08:40,20.9
2022-09-05 21:08:45,20.9
2022-09-05 21:08:50,20.9
2022-09-05 21:08:55,42.6
2022-09-05 21:09:00,42.6
2022-09-05 21:09:05,42.6
2022-09-05 21:09:10,42.6
2022-09-05 21:09:15,40.4
2022-09-05 21:09:20,40.4
2022-09-05 21:09:25,40.4
2022-09-05 21:09:30,40.4
2022-09-05 21:09:35,43.0
2022-09-05 21:09:40,43.0
2022-09-05 21:09:45,43.4
2022-09-05 21:09:50,43.4
2022-09-05 21:09:55,42.6
2022-09-05 21:10:00,42.6
2022-09-05 21:10:05,42.6
2022-09-05 21:10:10,42.6
2022-09-05 21:10:15,41.3
2022-09-05 21:10:20,41.3
2022-09-05 21:10:25,41.3
2022-09-05 21:10:30,41.3
2022-09-05 21:10:35,41.4
2022-09-05 21:10:40,41.4
2022-09-05 21:10:45,41.4
2022-09-05 21:10:50,41.4
2022-09-05 21:10:55,41.3
2022-09-05 21:11:00,41.3
2022-09-05 21:11:05,41.3
2022-09-05 21:11:10,41.3
2022-09-05 21:11:15,41.5
2022-09-05 21:11:20,41.5
2022-09-05 21:11:25,41.5
2022-09-05 21:11:30,41.5
2022-09-05 21:11:35,57.1
2022-09-05 21:11:40,57.1
2022-09-05 21:11:45,57.1
2022-09-05 21:11:50,57.1
2022-09-05 21:11:55,51.9
2022-09-05 21:12:00,51.9
2022-09-05 21:12:05,51.8
2022-09-05 21:12:10,51.8
2022-09-05 21:12:15,41.2
2022-09-05 21:12:20,41.2
2022-09-05 21:12:25,41.2
2022-09-05 21:12:30,41.2
2022-09-05 21:12:35,40.3
2022-09-05 21:12:40,40.3
2022-09-05 21:12:45,40.3
2022-09-05 21:12:50,40.3
2022-09-05 21:12:55,47.1
2022-09-05 21:13:00,47.1
2022-09-05 21:13:05,47.1
2022-09-05 21:13:10,47.1
2022-09-05 21:13:15,48.2
2022-09-05 21:13:20,48.2
2022-09-05 21:13:25,48.2
2022-09-05 21:13:30,48.2
2022-09-05 21:13:35,18.5
2022-09-05 21:13:40,18.5
2022-09-05 21:13:45,18.6
2022-09-05 21:13:50,18.6
2022-09-05 21:13:55,18.2
2022-09-05 21:14:00,18.2
2022-09-05 21:14:05,18.2
2022-09-05 21:14:10,18.2
2022-09-05 21:14:15,48.3
2022-09-05 21:14:20,48.3
2022-09-05 21:14:25,48.3
2022-09-05 21:14:30,48.3
2022-09-05 21:14:35,46.2
2022-09-05 21:14:40,46.2
2022-09-05 21:14:45,46.2
2022-09-05 21:14:50,46.2
2022-09-05 21:14:55,48.8
2022-09-05 21:15:00,48.8
2022-09-05 21:15:05,48.8
2022-09-05 21:15:10,48.8
2022-09-05 21:15:15,46.3
2022-09-05 21:15:20,46.3
2022-09-05 21:15:25,46.3
2022-09-05 21:15:30,46.3
2022-09-05 21:15:35,46.0
2022-09-05 21:15:40,46.0
2022-09-05 21:15:45,46.0
2022-09-05 21:15:50,46.0
2022-09-05 21:15:55,6.1
2022-09-05 21:16:00,6.1
2022-09-05 21:16:05,6.1
2022-09-05 21:16:10,6.1
2022-09-05 21:16:15,9.1
2022-09-05 21:16:20,9.1
2022-09-05 21:16:25,9.1
2022-09-05 21:16:30,9.1
2022-09-05 21:16:35,8.5
2022-09-05 21:16:40,8.5
2022-09-05 21:16:45,8.5
2022-09-05 21:16:50,8.5
2022-09-05 21:16:55,8.5
2022-09-05 21:17:00,8.5
2022-09-05 21:17:05,8.5
2022-09-05 21:17:10,8.5
2022-09-05 21:17:15,44.2
2022-09-05 21:17:20,44.2
2022-09-05 21:17:25,44.2
2022-09-05 21:17:30,44.2
2022-09-05 21:17:35,43.8
2022-09-05 21:17:40,43.8
2022-09-05 21:17:45,43.8
2022-09-05 21:17:50,43.8
2022-09-05 21:17:55,41.7
2022-09-05 21:18:00,41.7
2022-09-05 21:18:05,41.7
2022-09-05 21:18:10,41.7
2022-09-05 21:18:15,40.9
2022-09-05 21:18:20,40.9
2022-09-05 21:18:25,40.9
2022-09-05 21:18:30,40.9
2022-09-05 21:18:35,42.9
2022-09-05 21:18:40,42.9
2022-09-05 21:18:45,42.9
2022-09-05 21:18:50,42.9
2022-09-05 21:18:55,41.2
2022-09-05 21:19:00,41.2
2022-09-05 21:19:05,41.2
2022-09-05 21:19:10,41.2
2022-09-05 21:19:15,41.5
2022-09-05 21:19:20,41.5
2022-09-05 21:19:25,41.5
2022-09-05 21:19:30,41.5
2022-09-05 21:19:35,41.2
2022-09-05 21:19:40,41.2
2022-09-05 21:19:45,41.2
2022-09-05 21:19:50,41.2
2022-09-05 21:19:55,41.5
2022-09-05 21:20:00,41.5
2022-09-05 21:20:05,41.5
2022-09-05 21:20:10,41.5
2022-09-05 21:20:15,56.7
2022-09-05 21:20:20,56.7
2022-09-05 21:20:25,56.7
2022-09-05 21:20:30,56.7
2022-09-05 21:20:35,52.8
2022-09-05 21:20:40,52.8
2022-09-05 21:20:45,52.8
2022-09-05 21:20:50,52.8
2022-09-05 21:20:55,41.0
2022-09-05 21:21:00,41.0
2022-09-05 21:21:05,41.0
2022-09-05 21:21:10,41.0
2022-09-05 21:21:15,42.2
2022-09-05 21:21:20,42.2
2022-09-05 21:21:25,42.2
2022-09-05 21:21:30,42.2
2022-09-05 21:21:35,47.2
2022-09-05 21:21:40,47.2
2022-09-05 21:21:45,47.2
2022-09-05 21:21:50,47.2
2022-09-05 21:21:55,49.2
2022-09-05 21:22:00,49.2
2022-09-05 21:22:05,49.2
2022-09-05 21:22:10,49.2
2022-09-05 21:22:15,22.6
2022-09-05 21:22:20,22.6
2022-09-05 21:22:25,22.6
2022-09-05 21:22:30,22.6
2022-09-05 21:22:35,18.3
2022-09-05 21:22:40,18.3
2022-09-05 21:22:45,18.3
2022-09-05 21:22:50,18.3
2022-09-05 21:22:55,51.2
2022-09-05 21:23:00,51.2
2022-09-05 21:23:05,51.2
2022-09-05 21:23:10,51.2
2022-09-05 21:23:15,47.1
2022-09-05 21:23:20,47.1
2022-09-05 21:23:25,47.1
2022-09-05 21:23:30,47.1
2022-09-05 21:23:35,49.2
2022-09-05 21:23:40,49.2
2022-09-05 21:23:45,49.2
2022-09-05 21:23:50,49.2
2022-09-05 21:23:55,45.0
2022-09-05 21:24:00,45.0
2022-09-05 21:24:05,45.0
2022-09-05 21:24:10,45.0
2022-09-05 21:24:15,46.2
2022-09-05 21:24:20,46.2
2022-09-05 21:24:25,46.2
2022-09-05 21:24:30,46.2
2022-09-05 21:24:35,6.1
2022-09-05 21:24:40,6.1
2022-09-05 21:24:45,6.1
2022-09-05 21:24:50,6.1
2022-09-05 21:24:55,5.8
2022-09-05 21:25:00,5.8
2022-09-05 21:25:05,5.8
2022-09-05 21:25:10,5.8
2022-09-05 21:25:15,5.6
2022-09-05 21:25:20,5.6
2022-09-05 21:25:25,5.6
2022-09-05 21:25:30,5.6
2022-09-05 21:25:35,5.4
2022-09-05 21:25:40,5.4
2022-09-05 21:25:45,5.4
2022-09-05 21:25:50,5.4
2022-09-05 21:25:55,44.9
2022-09-05 21:26:00,44.9
2022-09-05 21:26:05,44.9
2022-09-05 21:26:10,44.9
2022-09-05 21:26:15,42.8
2022-09-05 21:26:20,42.8
2022-09-05 21:26:25,42.8
2022-09-05 21:26:30,42.8
2022-09-05 21:26:35,45.7
2022-09-05 21:26:40,45.7
2022-09-05 21:26:45,45.2
2022-09-05 21:26:50,45.2
2022-09-05 21:26:55,44.7
2022-09-05 21:27:00,44.7
2022-09-05 21:27:05,44.7
2022-09-05 21:27:10,44.7
2022-09-05 21:27:15,41.3
2022-09-05 21:27:20,41.3
2022-09-05 21:27:25,41.4
2022-09-05 21:27:30,41.4
2022-09-05 21:27:35,41.2
2022-09-05 21:27:40,41.2
2022-09-05 21:27:45,41.2
2022-09-05 21:27:50,41.2
2022-09-05 21:27:55,42.6
2022-09-05 21:28:00,42.6
2022-09-05 21:28:05,42.6
2022-09-05 21:28:10,42.6
2022-09-05 21:28:15,41.2
2022-09-05 21:28:20,41.2
2022-09-05 21:28:25,41.2
2022-09-05 21:28:30,41.2
2022-09-05 21:28:35,41.6
2022-09-05 21:28:40,41.6
2022-09-05 21:28:45,41.6
2022-09-05 21:28:50,41.6
2022-09-05 21:28:55,55.2
2022-09-05 21:29:00,55.2
2022-09-05 21:29:05,55.2
2022-09-05 21:29:10,55.2
2022-09-05 21:29:15,56.4
2022-09-05 21:29:20,56.4
2022-09-05 21:29:25,56.4
2022-09-05 21:29:30,56.4
2022-09-05 21:29:35,47.1
2022-09-05 21:29:40,47.1
2022-09-05 21:29:45,47.1
2022-09-05 21:29:50,47.1
2022-09-05 21:29:55,44.4
2022-09-05 21:30:00,44.4
2022-09-05 21:30:05,44.4
2022-09-05 21:30:10,44.4
2022-09-05 21:30:15,49.4
2022-09-05 21:30:20,49.4
2022-09-05 21:30:25,49.4
2022-09-05 21:30:30,49.4
2022-09-05 21:30:35,47.5
2022-09-05 21:30:40,47.5
2022-09-05 21:30:45,47.5
2022-09-05 21:30:50,47.5
2022-09-05 21:30:55,22.4
2022-09-05 21:31:00,22.4
2022-09-05 21:31:05,22.4
2022-09-05 21:31:10,22.4
2022-09-05 21:31:15,22.3
2022-09-05 21:31:20,22.3
2022-09-05 21:31:25,22.3
2022-09-05 21:31:30,22.3
2022-09-05 21:31:35,49.7
2022-09-05 21:31:40,49.7
2022-09-05 21:31:45,49.7
2022-09-05 21:31:50,49.7
2022-09-05 21:31:55,48.3
2022-09-05 21:32:00,48.3
2022-09-05 21:32:05,48.3
2022-09-05 21:32:10,48.3
2022-09-05 21:32:15,46.8
2022-09-05 21:32:20,46.8
2022-09-05 21:32:25,46.8
2022-09-05 21:32:30,46.8
2022-09-05 21:32:35,44.0
2022-09-05 21:32:40,44.0
2022-09-05 21:32:45,44.0
2022-09-05 21:32:50,44.0
2022-09-05 21:32:55,46.8
2022-09-05 21:33:00,46.8
2022-09-05 21:33:05,46.8
2022-09-05 21:33:10,46.8
2022-09-05 21:33:15,9.2
2022-09-05 21:33:20,9.2
2022-09-05 21:33:25,9.2
2022-09-05 21:33:30,9.2
2022-09-05 21:33:35,9.2
2022-09-05 21:33:40,9.2
2022-09-05 21:33:45,9.2
2022-09-05 21:33:50,9.2
2022-09-05 21:33:55,8.7
2022-09-05 21:34:00,8.7
2022-09-05 21:34:05,8.7
2022-09-05 21:34:10,8.7
2022-09-05 21:34:15,5.9
2022-09-05 21:34:20,5.9
2022-09-05 21:34:25,5.9
